,Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
93,158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,vigente,vigente
94,417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,vigente,vigente
95,566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,4015.21,Standard,2015,6,2016.0,7.0
96,472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Aurora,6265.34,2018 Promotion,2018,3,vigente,vigente
97,425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,vigente,vigente
98,174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Star,4016.54,Standard,2015,4,2015.0,12.0
99,695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Divorced,Star,4019.38,Standard,2013,4,vigente,vigente
100,699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Divorced,Star,4019.38,Standard,2014,7,vigente,vigente
101,377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,vigente,vigente
102,511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,vigente,vigente
103,890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Married,Star,4025.1,Standard,2017,9,vigente,vigente
104,796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,vigente,vigente
105,556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,,Married,Star,4035.77,Standard,2017,1,vigente,vigente
106,513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,vigente,vigente
107,930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,vigente,vigente
108,235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,vigente,vigente
109,881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,2017.0,5.0
110,295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,vigente,vigente
111,306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,vigente,vigente
112,295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,vigente,vigente
113,967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,6364.9,2018 Promotion,2018,3,2018.0,11.0
114,591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,vigente,vigente
115,326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Star,4068.09,Standard,2017,2,vigente,vigente
116,375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,vigente,vigente
117,485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,vigente,vigente
118,920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,,Single,Aurora,7098.91,2018 Promotion,2018,4,vigente,vigente
119,797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Star,4079.13,Standard,2017,6,vigente,vigente
120,216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,vigente,vigente
121,958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,vigente,vigente
122,539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0
123,746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,vigente,vigente
124,484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,vigente,vigente
125,528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0
126,995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,vigente,vigente
127,632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,vigente,vigente
128,912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,4097.37,Standard,2013,8,2014.0,4.0
129,382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0
130,705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,4101.94,Standard,2013,11,vigente,vigente
131,123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,vigente,vigente
132,366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,7288.88,2018 Promotion,2018,3,vigente,vigente
133,119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Star,4108.26,Standard,2017,6,vigente,vigente
134,287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,,Single,Star,4109.31,Standard,2012,8,vigente,vigente
135,735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,vigente,vigente
136,606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,vigente,vigente
137,460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,vigente,vigente
138,743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,vigente,vigente
139,869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,vigente,vigente
140,520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,237245.0,Married,Star,4112.84,Standard,2015,9,2016.0,5.0
141,279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Star,4117.37,Standard,2013,7,vigente,vigente
142,170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,vigente,vigente
143,188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,vigente,vigente
144,670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,vigente,vigente
145,509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4121.25,Standard,2012,12,vigente,vigente
146,779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,4122.57,Standard,2012,9,vigente,vigente
147,111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,2013,3,vigente,vigente
148,763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,4126.61,Standard,2014,4,vigente,vigente
149,766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,67756.0,Married,Aurora,7482.49,2018 Promotion,2018,2,vigente,vigente
150,428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,4139.9,Standard,2015,7,vigente,vigente
151,139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,4142.56,Standard,2015,10,vigente,vigente
152,695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79088.0,Married,Star,4144.87,Standard,2012,4,vigente,vigente
153,355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Divorced,Star,4145.02,Standard,2013,7,vigente,vigente
154,578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Single,Star,4152.65,Standard,2012,5,vigente,vigente
155,603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Star,4157.7,Standard,2016,2,2016.0,10.0
156,467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,4160.02,Standard,2013,12,2018.0,10.0
157,601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809.0,Married,Star,4165.17,Standard,2015,9,vigente,vigente
158,700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567.0,Married,Star,4165.25,Standard,2015,12,vigente,vigente
159,203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,54160.0,Married,Star,4165.35,Standard,2012,7,vigente,vigente
160,705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Single,Star,4165.99,Standard,2012,5,vigente,vigente
161,354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Married,Star,4167.09,Standard,2018,9,vigente,vigente
162,746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Married,Star,4167.09,Standard,2014,4,vigente,vigente
163,469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,73544.0,Married,Star,4167.42,Standard,2013,1,vigente,vigente
164,164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57852.0,Single,Star,4169.36,Standard,2012,9,vigente,vigente
165,708373,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,57852.0,Single,Star,4169.36,Standard,2017,3,vigente,vigente
166,225088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,97991.0,Married,Star,4170.34,Standard,2015,9,vigente,vigente
167,100214,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253.0,Married,Star,4170.57,Standard,2015,8,vigente,vigente
168,459999,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,53465.0,Single,Star,4170.69,Standard,2017,9,vigente,vigente
169,553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,53465.0,Single,Star,4170.69,Standard,2014,12,2015.0,8.0
170,268128,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,47663.0,Married,Star,4177.88,Standard,2013,1,vigente,vigente
171,930584,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,4185.76,Standard,2015,7,vigente,vigente
172,327796,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Star,4191.06,Standard,2017,6,vigente,vigente
173,947467,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,49937.0,Married,Star,4196.43,Standard,2015,2,vigente,vigente
174,743510,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,4196.65,Standard,2016,5,vigente,vigente
175,580324,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61113.0,Married,Star,4198.03,Standard,2013,6,vigente,vigente
176,845613,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,54297.0,Married,Star,4198.03,Standard,2018,10,vigente,vigente
177,645919,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,66297.0,Divorced,Aurora,7484.31,2018 Promotion,2018,3,vigente,vigente
178,423324,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,69599.0,Divorced,Star,4200.37,Standard,2017,12,vigente,vigente
179,101945,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098.0,Married,Star,4202.66,Standard,2013,11,vigente,vigente
180,713636,Canada,Ontario,London,M5B 3E4,Male,Doctor,48109.0,Married,Star,4212.8,Standard,2014,8,vigente,vigente
181,302509,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,74238.0,Married,Star,4213.92,Standard,2017,3,vigente,vigente
182,789421,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Single,Star,4217.86,Standard,2016,11,vigente,vigente
183,914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,4217.86,Standard,2015,11,2016.0,7.0
184,675879,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,78617.0,Married,Aurora,8000.55,2018 Promotion,2018,2,vigente,vigente
185,404426,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,99696.0,Married,Star,4223.27,Standard,2014,9,vigente,vigente
186,260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,88876.0,Single,Star,4228.25,Standard,2013,6,2017.0,4.0
187,827194,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,71450.0,Married,Aurora,8255.76,2018 Promotion,2018,3,vigente,vigente
188,438023,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Married,Star,4228.73,Standard,2013,1,vigente,vigente
189,397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2018,1,2018.0,9.0
190,645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,76056.0,Married,Star,4235.18,Standard,2014,8,2015.0,8.0
191,872932,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,72685.0,Married,Star,4236.3,Standard,2015,3,vigente,vigente
192,407945,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,75108.0,Married,Star,4236.47,Standard,2012,12,vigente,vigente
193,211714,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,103572.0,Married,Star,4236.84,Standard,2015,6,vigente,vigente
194,410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,132353.0,Married,Star,4237.37,Standard,2017,2,vigente,vigente
195,905213,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,132353.0,Married,Star,4237.37,Standard,2015,10,vigente,vigente
196,147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,59849.0,Divorced,Star,4241.64,Standard,2012,8,vigente,vigente
197,530105,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Star,4242.69,Standard,2017,11,2018.0,7.0
198,610946,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,56947.0,Married,Star,4244.47,Standard,2016,12,vigente,vigente
199,383108,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64497.0,Married,Star,4247.68,Standard,2012,6,vigente,vigente
200,836343,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,64497.0,Married,Star,4247.68,Standard,2017,4,vigente,vigente
